id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2020-12-04 00:17:56,湖北,68149,0,63633,4512,0,0,,,,0,,0,0,,0
810000,2020-12-04 17:08:21,香港,6701,0,5465,112,0,0,,,,90,,71,2,,129
440000,2020-12-04 08:53:10,广东,1997,0,1953,8,0,0,,,,1,,1,0,,0
310000,2020-12-04 08:38:08,上海,1350,0,1285,7,0,0,,,,9,,5,0,,4
330000,2020-12-04 00:02:56,浙江,1294,0,1288,1,0,0,,,,0,,0,0,,0
410000,2020-12-04 08:48:06,河南,1292,0,1265,22,0,0,,,,2,,2,0,,0
430000,2020-12-04 00:02:57,湖南,1020,0,1016,4,0,0,,,,0,,0,0,,0
340000,2020-12-04 00:02:56,安徽,992,0,986,6,0,0,,,,0,,0,0,,0
650000,2020-12-04 00:02:56,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
110000,2020-12-04 00:02:56,北京,951,0,938,9,0,0,357.0,0.0,353.0,0,,0,0,,0
230000,2020-12-04 00:02:56,黑龙江,949,0,936,13,0,0,,,,0,,0,0,,0
360000,2020-12-04 00:02:56,江西,935,0,934,1,0,0,,,,0,,0,0,,0
370000,2020-12-04 08:38:09,山东,857,0,841,7,0,0,,,,1,,0,0,,1
510000,2020-12-04 08:53:09,四川,808,0,774,3,0,0,,,,0,,1,0,,-1
700000,2020-12-04 19:18:21,台湾,690,0,572,7,0,0,,,,5,,2,0,,3
320000,2020-12-04 00:02:56,江苏,680,0,672,0,0,0,,,,0,,0,0,,0
500000,2020-12-04 00:02:56,重庆,590,0,583,6,0,0,,,,0,,0,0,,0
610000,2020-12-04 12:43:15,陕西,501,0,471,3,0,0,,,,0,,1,0,,-1
350000,2020-12-04 09:53:09,福建,492,0,450,1,0,0,,,,2,,0,0,,2
130000,2020-12-04 00:02:56,河北,373,0,366,6,0,0,,,,0,,0,0,,0
150000,2020-12-04 08:48:07,内蒙古,333,0,306,1,0,0,,,,4,,0,0,,4
120000,2020-12-04 09:53:08,天津,300,0,291,3,0,0,,,,0,,1,0,,-1
210000,2020-12-04 08:38:09,辽宁,289,0,287,2,0,0,,,,0,,1,0,,-1
450000,2020-12-04 00:17:56,广西,263,0,260,2,0,0,,,,0,,0,0,,0
140000,2020-12-04 00:02:56,山西,221,0,218,0,0,0,,,,0,,0,0,,0
530000,2020-12-04 00:02:56,云南,219,0,210,2,0,0,,,,0,,0,0,,0
620000,2020-12-04 00:02:56,甘肃,182,0,179,2,0,0,,,,0,,0,0,,0
460000,2020-12-04 00:02:56,海南,171,0,165,6,0,0,,,,0,,0,0,,0
220000,2020-12-04 00:02:56,吉林,157,0,155,2,0,0,,,,0,,0,0,,0
520000,2020-12-04 00:02:57,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2020-12-04 00:02:56,宁夏,75,0,75,0,0,0,,,,0,,0,0,,0
820000,2020-12-04 00:02:56,澳门,46,0,46,0,0,0,,,,0,,0,0,,0
630000,2020-12-04 00:02:56,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2020-12-04 00:02:56,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
